,sentence,label
0,저는 김연아 선수를 존경하는 고2 학생입니다.,1
1, 어쩌라고 낼 하야하면 대책 마련이라도 돼 있나?,3
2,제가 제일 좋아하는 팀인 LG에 오셔서 정말 기뻐요.,1
3,....언제 그랬습니까??,3
4,저는 김연아 선수를 존경하는 고2 학생입니다.,0
5,"……뭐, 춥긴 하다만.",1
6,?_ㅡ 최악임,2
7,하긴 그래. 너는 특히 부자연스럽고 말이야.,3
8,신화 정말 멋있네요!!,1
9,전에 1박2일에 김 c가 있었던 거 처음 시즌3에서는 구석 형이 그 역할을 잘해주었지,1
10,그 선배를 제거하겠다는 뜻이구나.,3
11,판사들도 최순실 게이트에 관여되어있나? 어디까지야 이거!,2
12,예. 뷔페다~ 지금 가서 좀 퍼먹어도 돼요?,2
13,신화 정말 멋있네요!!,0
14,좋은 기사 나오는 날이 손에 꼽네,1
15,저번에 하차 기사가 틀린 게 아녔구만….,3
16, 여행하다가 사진 촬영하는데 갑자기 꺼짐.,3
17, 박보검 얼굴에 홀린 듯 한 시간이 지나갔음,1
18,난 대통령이 누가 돼도 상관없는데 자기들이 뽑아놓고 왜 내려오라 말라야,2
19,호흡 운동의 조절 중추는?,3
20,아 택시기사들 끼어들 기갑,2
21,나도 모르게 여기에 가입 했네…….,3
22,제가 제일 좋아하는 팀인 LG에 오셔서 정말 기뻐요.,0
23,고마워요... 한국 정부보다 낫네,1
24, 박보검 얼굴에 홀린 듯 한 시간이 지나갔음,0
25,고마워서고 했어요,1
26,퀵……. 인데요…….,3
27,오타쿠는 가진 게 많고 뭐든지 원하는 건 얻고 본다 인정?,2
28,예 D ~예 밤 300일 너무너무 축하해요 ^^,0
29,좋은 기사 나오는 날이 손에 꼽네,0
30,"……뭐, 춥긴 하다만.",0
31,"어설픈 반전, 하나둘씩 죽어가는 사람….",2
32,고마워요... 한국 정부보다 낫네,0
33, 하여간 맨유는 후….,2
34,새해 첫날부터 기분이 안 좋다,2
35,오늘 이사 덕분에 아주 즐거웠어요.,2
36,전에 1박2일에 김 c가 있었던 거 처음 시즌3에서는 구석 형이 그 역할을 잘해주었지,0
37,완전 똑같다,3
38,예 D ~예 밤 300일 너무너무 축하해요 ^^,1
39,고마워서고 했어요,0
