,sentence,label
0,아줌만 몰라도 되는 거.,3
1,아직 멀었어요?!!,2
2,축하합니다. !!!,0
3,안 되겠네. 팔다리 빨리 좀 묶어.,3
4,요즘은 중국어 어학 연수하러 제주로 나가 보네요,2
5,머리하느라 구조를 못한 게 아니다…. 애초에 구조할 맘이 하나도 없었기 때문에 머리할 여유가 있었던 거다…. 그게 더 무섭다….,2
6, 보고 엄청 놀 램;;,3
7,화면 보는 것보다 어머니들 토크가 더 잼,0
8, 갑자기 자신감 얻은 건가?,3
9, 뭔가 잘못되고 있다고 생각합니다.,3
10,형님 ㅋㅋ)  행님이 정사 모를 버리실 턱이 없죠.,0
11,박보검 구르니 더욱 더 흥해라 축하하고 축하,0
12,카푸치노 되나요?,2
13,추워. 추워서 견딜 수가 없어. ,3
14,?♡,0
15,화면 보는 것보다 어머니들 토크가 더 잼,1
16, 감독 김태리 수상할 때부터 그렇게까지 소리지르는거보고;;;;;,3
17,"이 영화 볼 바에 차라리 30년대 흑백 서부영화, 흑백전쟁영화or책을 보는 게 훨씬 배 낫겠네",2
18,"평점 가가 5점밖에 안 줬다고 해서 왜 비난받아야 하냐? 1점 부면서 쓰레기 영화라고 하는 사람도 있다 사람마다 영화 보는 눈은 다를 수 있는 거고 많은 평론가가 동일하게 5, 6점씩 준 걸 보면 타당한 평점 이라 생각한다 너 같은 예민하지 못한 눈이랑 평점이 다르다고 평론가를 비하하는 짓 대한 심해 보인다",2
19, 특검 화이팅,0
20,?♡,1
21,더빙이 똥이야…….,2
22,아틀란이 최고인 듯.,1
23,힘들고 아플 텐데 캐럿을 앞에서는 밝고 활기찬 모습 많이 보여줘서 고마워요.,0
24,역시 이번에도 듣기만 하라고 만들었네요…. 너무 좋습니다,1
25,형님 ㅋㅋ)  행님이 정사 모를 버리실 턱이 없죠.,1
26,네? 동기의 착오요??,3
27,축하합니다. !!!,1
28,박보검 구르니 더욱 더 흥해라 축하하고 축하,1
29,여기서 아이폰 좋아하면 왜 비호감임?,3
30, 슛 안 들어갈 때마다 간담이 서늘해지네요. ㅎㅎ,3
31,넌 이따가 나 좀 따로 봐!,2
32,아틀란이 최고인 듯.,0
33, 조금 더 자신감 있는 컨셉을 이젠 보여주실 때가 온 거 같아요.,0
34,역시 이번에도 듣기만 하라고 만들었네요…. 너무 좋습니다,0
35,힘들고 아플 텐데 캐럿을 앞에서는 밝고 활기찬 모습 많이 보여줘서 고마워요.,1
36, 특검 화이팅,1
37, 조금 더 자신감 있는 컨셉을 이젠 보여주실 때가 온 거 같아요.,1
38,제 딸도 아닌데 모성애 느끼나 봐,2
39,자급제폰 좀 시행해라. 통신사는 통신 서비스만 하고.,2
