,sentence,label
0,미안하다. 우리가 승리다,0
1,편의점도 쉬는 거야?,3
2,법도 개떡 같군,2
3,조윤선 제2에 최순실 되려고 한 거 같은데 감방 동기됐네,1
4,오지 마라 해라. 싹수없는 놈들 대사관 비우고 다 철수시켜라.,2
5,내일 진로 상담회가 있는데 일손이 좀 부족한 것 같더군……. 네가 일을 도와줬으면 좋겠군.,1
6,"아, 그런 뜻…… 이 아니라 실례야! 일 제대로 했거든!",3
7,이 선수 88서울올림픽 때 동독 상대로 골 넣었던 게 생생히 기억나는데 아직도 현역이라니,3
8,후반부가 너무 몰아친 것 같은 느낌이다. 용두사미의 전형적인 예,2
9,아직 뭐…….,3
10,"아빠, 나 친구 집에 가서 좀만 놀고 올게.",3
11,LG로 와서 너무 기분이 좋습니다.,0
12,그렇게 말이다. 왜 그게 문제가 되는지….,2
13,첼시가 너무 잘한다….,0
14,경찰이 한패니까 수사 안 하겠단 거지,2
15,뭐가 히트인지 모르겠음 ㅡ. ㅡ….,3
16,기준이 우스워졌네~~~~ ㅋㅋ,1
17,그 기자와 전 여자 친구가 큰 잘못이 아님에도 불구하고 사람 하나를 망쳐놨다.,2
18,고맙지만 사양할게. 나는 예쁜 애 앞에서는 긴장해서 말도 못 하니까.,2
19,LG로 와서 너무 기분이 좋습니다.,1
20,축하해요 바다 누님 결혼까지~,0
21,그때 신랑 찾았으면 그림에 갇히지도 않고 다시 나와서 너를 만나지도 못했을 거 아니야. 하나도 안 아쉬워.,1
22, 국내 투수 역대 최고네요. ㅎㄷㄷ,3
23,근데 일본도 대단한 게 저렇게 지진으로 도로 등 복구하려면 예산이 엄청 들 텐데 아무렇지도 않은 걸 보면 부자 나라 긴 하나 봐 연례행사처럼 지진이 나는 구만 ㅋ,3
24,기준이 우스워졌네~~~~ ㅋㅋ,0
25,내일 진로 상담회가 있는데 일손이 좀 부족한 것 같더군……. 네가 일을 도와줬으면 좋겠군.,0
26,그동안에 고등어 경유차 국내원인으로 얘기하던 ss 끼는 다 잡아 처넣자,2
27,그때 신랑 찾았으면 그림에 갇히지도 않고 다시 나와서 너를 만나지도 못했을 거 아니야. 하나도 안 아쉬워.,0
28,끝까지 캐내서 정의를 찾아주세요 특검팀~~,0
29,끝까지 캐내서 정의를 찾아주세요 특검팀~~,1
30,미안하다. 우리가 승리다,1
31,축하해요 바다 누님 결혼까지~,1
32,모두 복 받으실 거에요 ㅠㅠ,0
33,돈 내고 보면 땅을 치고 후회한 진심임,2
34,첼시가 너무 잘한다….,1
35,나고 할 뻔했는데~가입~헐,3
36,아빠는 평생 술을 입에 댄 적도 없어요. 그리고 유서 쓰면 보험금 안 나온다고 미안하단 메시지도 왔었다고요. 당신이 말을 해준 게 아니면 그런 걸 알 리가 없어요.,2
37,시간이 참 빠르네요,3
38,모두 복 받으실 거에요 ㅠㅠ,1
39,조윤선 제2에 최순실 되려고 한 거 같은데 감방 동기됐네,0
