,sentence,label
0,시원한 기사 감사드립니다,1
1,토요일은 세븐틴을 보며 신나게 놀아야지♡,1
2,음식에 대한 생각도 많이 바뀌었어요.,1
3, 전무후무한 챔피언스 리그 100골을 곧 라이브로 볼 생각하니 정말 영광이다.,1
4,지켜보고 있다 보니 문재인 후보 차량 앞에 홍준표 후보 홍보하는 사람들이 홍보 못 하게 막고 있는 거 같더라고요?,3
5,관두자. 네가 된통 당해봐야 정신을 차리지.,3
6,나하고 일상적인 얘기는 하지만 아무래도 남자아이니까 아빠와 통하는 게 있지 않겠어요?,3
7,뭐?!! 이게 진짜 어디서!!,3
8,국민들이 역모를 일으켰다고 생각하는 정신병자,2
9,"그래, 애를 유괴했으면 다음 계획은 뭐냐? ",2
10, 말이 안 돼 전문의들한테 진단을 좀 받아봐야 하는 거 아닌가?,3
11,"아, 얘기 들었어. 너 봤다 그러더라.",3
12,"저기... 아버지... 아까 그... 아버지 사기당한 얘기는요. 저, 정말 주책맞게 생각보다 혀가 빨리 돌아갔어요. 죄송해요. 아버지.",0
13,토요일은 세븐틴을 보며 신나게 놀아야지♡,0
14,"예, 떨고 계십니다. 고모부님.",1
15,달의 연인이 겹쳐 보임*.*,3
16,항상 힘들어도 열심히 활동해줘서 정말 고마워요 ㅇ♡♡♡♡,0
17, 오빠 때문에 항상 행복한 미란이가….,0
18,"저기... 아버지... 아까 그... 아버지 사기당한 얘기는요. 저, 정말 주책맞게 생각보다 혀가 빨리 돌아갔어요. 죄송해요. 아버지.",1
19,    감사합니다.,0
20,크크 오히려 첼시가 걱정할 이유가 있다니. 크크,2
21,병신 노인 놈들 국민연금 손해 본 몇천억은 안 아깝고 삼성이 노인들한테 해준 게 뭐라고 응원함?? 키득키득,2
22,제가 보고 있다는걸 아나 봐요,3
23,시체 팔이 실패 개꿀 잼. 크크크,0
24,시체 팔이 실패 개꿀 잼. 크크크,1
25,    감사합니다.,1
26,영화 내내 계속되는 내레이션에 짜증이 폭발 중간에 영화 껐다.,2
27, 전무후무한 챔피언스 리그 100골을 곧 라이브로 볼 생각하니 정말 영광이다.,0
28,로또 당첨되면 세금 40%??,3
29,항상 힘들어도 열심히 활동해줘서 정말 고마워요 ㅇ♡♡♡♡,1
30,음식에 대한 생각도 많이 바뀌었어요.,0
31, 오빠 때문에 항상 행복한 미란이가….,1
32,"이장우는 수준이 안되니까, 억지 발언으로 도적무리에 끼어보려 발버둥.. 참.. 코미디다 코미디….",2
33,"배우들의 연기는 괜찮으나, 정말 시나리오가 엉망인 영화. ? 왜 아기에 집착하는지도 안 나오고, 화가와 사냥꾼도 정말 왜 나오는지 를 모르겠음. 개연성 제로인 영화.",2
34,시원한 기사 감사드립니다,0
35,끝날 때까지는 끝난 게 아니다,2
36,진짜 아바타를 여친으로 만드는 세상이 오다니 ㅋㅋㅋ,3
37,충성고객을 호구로 보는 대책이네~~~!!!,2
38,박근혜는 탄핵 의미를 모를듯…….,2
39,"예, 떨고 계십니다. 고모부님.",0
