,sentence,label
0,박효신 최고~~!!! 콘서트의 그 여운 그대로 너무 멋있었어요.,1
1,크크 피케가 진짜로 은퇴한다면 저 기사 쓴 기자는 어딘가에서 살해당할 듯,3
2,어휴…. 드러운 놈이네~,2
3,누진세 폐지해라 언제까지 국민들의 소리는 무시할 거냐,2
4, 아무리 그래도 애가 아직 어린데 거기 가서 그 짓 하고 싶으냐?,2
5,항상 좋은 모습 보여주셔서 감사하고요.,0
6,고개 숙여 감사드립니다.,0
7,그리드만이 맨유에 온다고 맨유가 잘해질까?,3
8,항상 좋은 모습 보여주셔서 감사하고요.,1
9,참 OOO 같은 영화네... 막장이냐?,2
10,"생일 파티 날 핸드폰을 여기다 두고 가셨는데, 당연히 주말에 찾아가셨을 줄 알았는데 안 찾아가시고, 오늘은 아예 출근도 안 하시고, 연락은 안 되고, ",3
11,"최경희, 끝까지 아니라더니 뻔뻔하긴",2
12,영화 스토리 같다. ㅠㅠㅠ,0
13,멘붕·무슨 만난 지 두 달도 안 돼서 결혼 약속?,3
14,역시 무도 짱,1
15,단군 이래 최대비리인 엘시티는 보도 안 하냐???,2
16,권력과 돈만 있으면 안 되는 일이 없었지,2
17,국회가 웬일로 서민들 생각도 해주네.,3
18,할머니 뭐 좋은 일 있어?,1
19,오늘 AAA 베스트 스타상 너무 축하하고 무대 88 파워풀 멋있었어요,0
20,"시끄러워. 하여간, 뭘 잘했다고 또박또박 말대꾸야.",3
21,박효신 최고~~!!! 콘서트의 그 여운 그대로 너무 멋있었어요.,0
22,못 봤는데…. 으잉? AC일. 기어이. 기어이 일을 저질렀어!,3
23,이종석 인형 같아 너무 잘생김,1
24,역시 무도 짱,0
25,그게 그렇게 좋아?,0
26,아냐 아냐…. 내가 따를게….,2
27,체크 아웃 하기 전에 온천 수영장 안 가실래요? 여기 물 좋다던데.,3
28,류중일 감독 같은 덕장을 이렇게 보내네,0
29,류중일 감독 같은 덕장을 이렇게 보내네,1
30,이종석 인형 같아 너무 잘생김,0
31,그게 그렇게 좋아?,1
32,할머니 뭐 좋은 일 있어?,0
33,일제강점기 때 한반도 역사 날조하려고 광개토대왕비도 훼손한 게 쪽발이들인데 크크크,2
34,영화 스토리 같다. ㅠㅠㅠ,1
35,왜.,2
36,오늘 AAA 베스트 스타상 너무 축하하고 무대 88 파워풀 멋있었어요,1
37,고개 숙여 감사드립니다.,1
38,고마워요~,3
39,……싫지는 않지만.,3
