,sentence,label
0,정말 국내에선 박병호나 손아섭이라는 첫 타자보다 못했으나 국제경기에 가면 상당히 강했나 보네~ 내년 시즌 김현수 기대할 만하다.,1
1,오빠가 미성년자랑 엮이고 싶지 않다고 못을 박아서 애인은 3년 후 예약이에요.,2
2,렌즈 떨어졌나 보네. 지금 그깟 게 중요해!! 대충 봐도 알겠다!,2
3,빔 벤더스를 욕보이는 짓이었다 이 영화는…….,2
4,360위 같은데 웬 36위?,3
5," 올해 한번 일내보자~~김성근 감독님, 오간도, 한화이글스 화이팅!!",0
6,같이 일하던 플로라도 등쳐먹었나??,2
7,여자주인공 미모 빼곤 볼 거 없다,2
8,"추운 날씨에 진압하신 경찰들도, 집회에 참석한 시민들도 고생이 많으셨습니다~~~",0
9, 영화에서는 덕혜옹주가 일본으로 강제로 보내졌는데 일본에서 일본에 저항한 것처럼 만들었더니만…….,3
10,정말 국내에선 박병호나 손아섭이라는 첫 타자보다 못했으나 국제경기에 가면 상당히 강했나 보네~ 내년 시즌 김현수 기대할 만하다.,0
11,"선은 아니고, 노인들은 걱정이 많으시잖아. 왜, 난 선 보면 안 돼?",3
12,옵파그러지말고한번더보자!! ㅎㅎ,0
13,진지하게 기사 읽다가 푸틴 사진 보고 뿜었다. 크크크,0
14,이 영화 보지마…. 졸라 재미 없어;; 미친,2
15, 왜 울렸냐면 레미콘 차량이 1차선을 달리더라고.,3
16, 전 믿습니다!!!,0
17,"응사 따위 안보고 삼 년 만에 챙겨본 드라마 한혜진 지진희 이렇게 연기 제조기였음? 어디가 애절하고 어디가 연민이? 시트콤 수준. 게다가 이거 스릴러임? 왕 실망. 연기 대본 연출 다 실패. 작가 딱 사랑과 전쟁 수준·섬세한 감정선은 찾아볼 수가 없음, 김지수만 열연",2
18,헐. 대단한 놈들이네….,3
19," 올해 한번 일내보자~~김성근 감독님, 오간도, 한화이글스 화이팅!!",1
20,"추운 날씨에 진압하신 경찰들도, 집회에 참석한 시민들도 고생이 많으셨습니다~~~",1
21,승리요정 신소율ㅇㅅㅇ,0
22,이야 사람 간 보는 것도 아니고 주자 1~3루 만들어놓고 삼진답네 ㅋㅋ 쪼는 맛은 최고다 퍼팅,1
23,협심증이 급성 심근경색증으로 악화할 수도 있대….,3
24,광의 님 진짜 착하고 성실하신 것 같아요,0
25,다음 사이트는 벌써 복귀하냐는 댓글이 많은데 네이버는 죄다 찬성 쪽이네 ㅋㅋㅋ,3
26,광의 님 진짜 착하고 성실하신 것 같아요,1
27,일베 악플 달러 단체로 왔대요^^^^^,2
28,그냥 통화하지 말자 왜놈들아,2
29,국회의원은 백해무익이다 위기 다음 기회다 국회의원 사표 받자,2
30,원우 오빠 생일축하해요!,1
31, 전 믿습니다!!!,1
32,어떻게 그렇게 한순간에. 예고도 통보도 없이 사라져버릴 수가 있어? 그 기막힌 기분 알아? 공기처럼 언제나 내 곁에 머물고 있던 존재가 순식간에 없어졌을 때 느끼는 그 황당한 기분을  알면 나한테 이럴 순 없어.,3
33,옵파그러지말고한번더보자!! ㅎㅎ,1
34,원우 오빠 생일축하해요!,0
35,혹시 그러신 분들 또 있으세요?,3
36,승리요정 신소율ㅇㅅㅇ,1
37,진지하게 기사 읽다가 푸틴 사진 보고 뿜었다. 크크크,1
38,21개월 딸내미가 오늘 발톱이 빠졌어요,3
39,이야 사람 간 보는 것도 아니고 주자 1~3루 만들어놓고 삼진답네 ㅋㅋ 쪼는 맛은 최고다 퍼팅,0
