,sentence,label
0,"-_, -방송에서만 한껏 부풀린 영화…….",2
1,"캐스터님, 너무 아름다우시네요….",0
2,"응. 너, 저거 보고 있었어?",1
3, 그래서 손지환 선수도 좋아해요…….,0
4,엄마 사랑합니다. ㅜㅠ,0
5,하기로 했어. 11월 발매 호부터.,0
6,옛날식에 곰팡이 핀 새끼들 뇌까지 곰팡이 폈냐,2
7,아래 사진 꼬마애 누워있는 거 보고 깜짝 놀라,3
8,처음 봐도 흥미가 생기고 멋진 책 없을까요?,3
9,"응. 너, 저거 보고 있었어?",0
10,와 한강 이 사람도 전라도 출신이네,3
11,댓글 달아주시면 고맙겠습니다~!!,0
12,근데 길거리에 BMW 있고 그런다던데 버려놔가지고….,3
13,미국판 허경영이구나….,2
14,"그래, 얼른 가져와. 아니, 내가 같이 갈까?",3
15,앉아봐. 아침 안 먹었지.,0
16,아~~~드디어 나도 글을 쓸 수 있게 되었네요….,0
17,댓글 달아주시면 고맙겠습니다~!!,1
18,김태희 연기력은 갈수록 상승 승승장구하네! 미모도 갑,0
19,당신 뭐해요?,2
20,"캐스터님, 너무 아름다우시네요….",1
21,자식이. 못 하는 소리가 없어. 나가봐.,2
22,엄마 사랑합니다. ㅜㅠ,1
23,대형 가서 예의는 지키자,2
24,앉아봐. 아침 안 먹었지.,1
25,김태희 연기력은 갈수록 상승 승승장구하네! 미모도 갑,1
26,야…,2
27,하기로 했어. 11월 발매 호부터.,1
28,아침부터 류준열 봐서 기분 좋다. 택시 촬영도 무사히 끝내길 화이팅!!,1
29," 지 전화 업무도 나한테 걸 하고 하지 않나,",2
30, 그래서 손지환 선수도 좋아해요…….,1
31,아침 일어나서 네이버 들어 가니 검색어 1위 손흥민ㄷㄷ….,3
32,소속사가 빵빵해서 그런지 엄청나게 밀어주네,2
33,앗 대만 일본의 속국 아니었나???,3
34,아~~~드디어 나도 글을 쓸 수 있게 되었네요….,1
35,저는 제 나이 또래도 없고 20대라고는 저 혼자뿐이라….,3
36,오늘 그렇게 춥지는 않은데?,3
37,"포기하는 건 바라지 않는다니… 설마, 오빠, 저 좋아해요?",3
38,아침부터 류준열 봐서 기분 좋다. 택시 촬영도 무사히 끝내길 화이팅!!,0
39,기상청은 개나 소나 다 들어 갈 수 있겠네.,2
