,sentence,label
0,"덕분에 아내와 애들에게 좋은 남편, 아빠가 되고 있습니다.",1
1,언제나 쉽고 맛난 레시피 알려주셔서 감사합니다. ㅎㅎ,1
2,끼가 엄청나네요. 완전 재주꾼….,1
3,ㅄ 같은 영화,2
4,털 많은 귀여운 애라 그래도 이쁘고 귀엽지 크크크,0
5,근데 나 남잔 데 이런 손님이 있어?,3
6,감동 그 자체….,1
7,한국도 그렇지만 일본은 더 한 거도 같다,3
8,어떡해... 한번 실수는 병가지상사지. 괜찮아. ,2
9,연기자로서 확고히 자리매김하게 된 진영~,1
10,좌파 친북 엉덩이 딱 좋다!,0
11,끼가 엄청나네요. 완전 재주꾼….,0
12,조선족 무시무시하네! 니네나라로 돌아가라,2
13,진심 사장님 얼굴이 기억 안 남 크크크,3
14, 오늘 하루 멤버들이랑 즐겁고 행복한 하루 보내고 사랑해 정한아 ♥♥,1
15,"너한테 전화한 번호, 아직도 갖고 있냐. ",3
16,연기자로서 확고히 자리매김하게 된 진영~,0
17,감동 그 자체….,0
18,창 내려…. 그만 우려먹고….,2
19,김경숙인가 진짜 말 많더라 나는 김경숙이 간 사인 줄 알았다,3
20, 오늘 하루 멤버들이랑 즐겁고 행복한 하루 보내고 사랑해 정한아 ♥♥,0
21, 그것이 촛불의 힘이다.,1
22, 그것이 촛불의 힘이다.,0
23,"하이고~ 백수도 손님이라고, 지금 협박하냐?",2
24,빨리 박근혜는 하야하라 대한민국을 되찾자,2
25,좌파 친북 엉덩이 딱 좋다!,1
26, 이래서 난 경북이라도 이해 안 되어?,3
27,실력 맞지! 돈도 실력이라믄…. 애들이 왜케 뻔뻔한지…. ㅉ,2
28,임창용이 완전 한화용이네.,3
29, 특검 화이팅,1
30, 특검 화이팅,0
31,언제나 쉽고 맛난 레시피 알려주셔서 감사합니다. ㅎㅎ,0
32,그만두세요,3
33,박영숙... 천벌을 받을 것이다.,2
34,정권교체로 절대 조 기사면 없이 죗값 죽을 때까지 받게 해야 된다,2
35,해커랑 계약 안 하는 거 의외네?,3
36,다들 살아계시는가???,3
37,"덕분에 아내와 애들에게 좋은 남편, 아빠가 되고 있습니다.",0
38,털 많은 귀여운 애라 그래도 이쁘고 귀엽지 크크크,1
39,"에이, 왜 그래~. ",2
