,sentence,label
0, 무기징역 받아도 싸네.. ㅡㅡ,2
1,기사를 읽기 좋고 쏙쏙 알 수 있게 정리되어 있어서 좋네요 감사합니다~,1
2,방동민 선수 화이팅!,1
3,하긴 그래. 너는 특히 부자연스럽고 말이야.,3
4, 매우 웃기네,1
5,콘텐츠 전혀 없던데 포켓몬이란 거 하나만으로 이렇게 성공할 줄이야,3
6,방동민 선수 화이팅!,0
7, 여러분들은 어떻게 참으시는지 알려주시면 감사하겠습니다. ㅜ,1
8,대한민국 대통령이 아니고 대한제국 여제.,2
9,     그렇게 살다 보면 언젠가는 사람들이 알아주는 날이 오는 법이다.,0
10,그러지 말고 돌아와!!,2
11, 매우 웃기네,0
12,이혼 결정 과정이. 결코 쉬운 일이 아니라는 걸 잘 알 텐데요….,2
13,한사람 목숨 때문에 민간인이 수십 명 죽는 영화.,2
14,그러지 뭐. ,2
15, 귀국 후 4일 중의 3일을 같이 지낸다는 게 이 대위 군인으로서 너무 널찍한 거 아님?,3
16,설마 구매자들한테 웃돈 받고 진품 주장하시는 건 아니겠지?,3
17, 금방 컴백 준비하고 활동 끝나면 해외투어 가느라 힘들겠지만 그래도 힘내고 아프지 말고 화이팅??,0
18,그거 좋다. 생각하니 흥분되는데.,2
19, 항상 캐럿을 기분 좋게 만들어줘서 정말 고맙고..,0
20,나 이 사진 아주 좋아요.,1
21,기사를 읽기 좋고 쏙쏙 알 수 있게 정리되어 있어서 좋네요 감사합니다~,0
22, 주변에 쏠쏠히 일동이랑 아이 배네 먹는 맘들이 있어서 그런지 그래도 고민은 적게 했음.,1
23,"아냐! 나 안 피곤해? 내가 왜 피곤해? 절대 안 피곤해! 나 지금 기운이 너무 남아돌아, 혼자 집에 가면 어디 쓸데도 없어. ",3
24,나 이 사진 아주 좋아요.,0
25,"이런 델 왜 올라가니, 위험하잖아!",3
26,"아, 그럼, 선배, 저랑 같이 놀러 가요. 축구부 주장도 초대해서, 갇히어.",3
27,대한민국 국민들 정말 미개하다 부끄럽다,2
28, 여러분들은 어떻게 참으시는지 알려주시면 감사하겠습니다. ㅜ,0
29,올 시즌엔 꼭 두 자리 승수 올려서 새로운 쌍둥이 마운드에 주역이 됐으면 합니다….,1
30, 주변에 쏠쏠히 일동이랑 아이 배네 먹는 맘들이 있어서 그런지 그래도 고민은 적게 했음.,0
31,댓글 보니 국민성 알만하다….,3
32,기상청에 손해배상 청구할 수는 없는 것인가?,2
33,이 모 씨였으면 게스트 불렀을 텐데 혼자서 하다니 대단하신 듯,3
34, 항상 캐럿을 기분 좋게 만들어줘서 정말 고맙고..,1
35,올 시즌엔 꼭 두 자리 승수 올려서 새로운 쌍둥이 마운드에 주역이 됐으면 합니다….,0
36,     그렇게 살다 보면 언젠가는 사람들이 알아주는 날이 오는 법이다.,1
37, 카톡을 주고 받은 사람을 조사해야 한다.,2
38,아... 네….,3
39, 금방 컴백 준비하고 활동 끝나면 해외투어 가느라 힘들겠지만 그래도 힘내고 아프지 말고 화이팅??,1
