,sentence,label
0,친구가 많지도 않은 녀석인데….,3
1,이번 해 좋은 일 아주 많이~~~,1
2,젊은 보수들 강연하는데 보니 아주 똑소리 나더라….,0
3,호박에 줄 긋는다고 수박 되나 ?,2
4,다 필요 없고 산다라 박이 제일 예쁘다.,1
5,"응. 힘들지. ……그래도, 가능하다. 나도 그랬으니까.",0
6,"응. 힘들지. ……그래도, 가능하다. 나도 그랬으니까.",1
7,"마누라와 자식 자랑은 팔불출이나 하는 거다…. 싸고 도는 놈들도, 다 똑같은 것들…. 쯧쯧쯧. 세상이 어떻게 되려고 이러는지…. 애들이 귀엽기는 개뿔…. 일가족이 여기만 출연했다 하면, 너무 못나 보여. 무슨 바보 가족도 아니고, 이런거나 폐지해라. 시트콤이 무슨 죄?",2
8,원더걸스가 20이냐 그 대단했던 원더걸스가 하하,3
9,누가 그랬는지 몰라도 상 주고 싶다 진짜.,0
10,인간 비타민 보검이 ㅠㅠ,0
11,다 필요 없고 산다라 박이 제일 예쁘다.,0
12,네가 답을 잘 알고 있으면서 뭐가 그리 걱정이야? 어이쿠. 가 봐야 하는데.,3
13,박지성 선수 이후로 최고의 아시아 선수다…….,0
14,내 친구들 다 지금까지 이 냄새 맡은 거야??,0
15,운전하면서 끼어들기를 잘해야 가족들에게 대접을 받는???,3
16,양복 입으실 일도 없잖아요.,3
17, 다 국민의 심판을 받으리.,2
18,솔직히 현역 포함해서 몇몇은 약하고 있던 것 아닌가 의심스러워요.,2
19,진짜 말도 안 되지만 누가 봐도 저런 명백한쓰 레기는 헌법에 족쳐도 좋다는 문구 하나 있었으면 좋겠다.,2
20,이것들 하나 걸려라. 이딴씩으로 아무것이나 촛불에 끼워 맞추고 있네요.,2
21,손흥민처럼만 해라 ㅎ,1
22,박지성 선수 이후로 최고의 아시아 선수다…….,1
23,"..그래서, 나랑 미국 가는 게 우리 애한테 더 나은 조건이라 생각해. 곧 소송 들어갈 거야. ",2
24,손흥민처럼만 해라 ㅎ,0
25,올해 양초 공장 대박 났네,3
26,젊은 보수들 강연하는데 보니 아주 똑소리 나더라….,1
27,그게. 그러니까…,2
28,제가 2년 동안 배웠는데 이제 아무 데도 못 가는군요….,0
29,어쩔 수 없죠. 그나마 잘하는 일부터 조금씩 시켜보는 수밖에요.,3
30,인간 비타민 보검이 ㅠㅠ,1
31,내 친구들 다 지금까지 이 냄새 맡은 거야??,1
32,이번 해 좋은 일 아주 많이~~~,0
33,제가 2년 동안 배웠는데 이제 아무 데도 못 가는군요….,1
34,그렇게 욕을 잘한다고….,3
35,야 누가니 보고 촛불 들라고 하드나 참 기사 꼬락서니하곤,2
36,경찰 서버를 해킹한 놈도 또 간 이 처벌하라.,3
37,터진 아가리라고 씨불이는 건 예나 지금이나 여전하네. 크크크 개 빌 ?,2
38,누가 그랬는지 몰라도 상 주고 싶다 진짜.,1
39,이럴 때 보면 영락없는 소녀세요.,3
