,sentence,label
0,부산항 꼭 보러 가야지요. ㅋㅋ,0
1,엄마 사랑합니다. ㅜㅠ,0
2,연락도 못할 정도로??,3
3,대댓글에 공감 표시 허용 굿입니다,0
4,담뱃값 올린다고 하니까 흡연자들을 살인자인 것처럼 몰아세우면서 찬성하더니만 경유에서 나오는 먼지는 괜찮나 보네,2
5,대댓글에 공감 표시 허용 굿입니다,1
6,부산항 꼭 보러 가야지요. ㅋㅋ,1
7, 준혁이 형이 엘지에 오게 된 것은 정말 엘지 팬으로써 대환영이었습니다….,1
8,무엇이든 열심히 하는 모습이 참 보기 좋던데 ~~언제나 응원합니다^^,1
9,진심 죽었으면 좋겠다.~~,2
10,찾아서 보니까 어떤 여자가 실제로 1cm 줄었다고 인터뷰하는 게 있었는데 아마도 거기가 이곳 같음….,3
11,퇴진하겠냐 끌어내려야지,2
12, 좀 맞는 것 같아서….,3
13,일본 놈들이나 닭대가리하고 같음,2
14,갈 곳 없는 사람들 거둬 줘 봐야 저런 짓 하는 사람 양성 하는 게 되나?,3
15,진정!! 멋지십니다!!!,1
16,스타벅스 지점마다 커피 맛이 다른 이유가 뭘까??,3
17,고개 숙여 감사드립니다.,1
18,진정!! 멋지십니다!!!,0
19,근데 김소은 연기 잘하네,0
20, 준혁이 형이 엘지에 오게 된 것은 정말 엘지 팬으로써 대환영이었습니다….,0
21,이거 내란죄 아닙니까?,2
22,엄마 사랑합니다. ㅜㅠ,1
23, 과학은 정말 위대하다.,3
24,잉여 짓 하는 나지만 이건 정말 아니다.,2
25, 오빠의 행동하나 하나가 우리에게 즐거움을 주네요.,1
26,정의선보고 있나???,2
27,그럼 진중권은 뭐야?,3
28,고개 숙여 감사드립니다.,0
29,보통 한발로 착지하다가 발목이 똑 부러지거든.,0
30,태풍이나 바람 불면…. 쫘좌작~~?,3
31,뭐지 이 악평조차도 별로 없는 펄 영화는….,2
32, 오빠의 행동하나 하나가 우리에게 즐거움을 주네요.,0
33,보통 한발로 착지하다가 발목이 똑 부러지거든.,1
34,일단 이것 좀 마시고요. 변호사님!! 저... 저기….,3
35,멧돼지들이여 열폭하여랏ㅋㅋㅋ,2
36,무엇이든 열심히 하는 모습이 참 보기 좋던데 ~~언제나 응원합니다^^,0
37,근데 김소은 연기 잘하네,1
38,데이트하다 싸웠냐? 왜 엄하게 지도를 때리고 그래.,2
39,부자들에게 중요한 건 규모가 아니라 순이익이라는 건가….,3
