,sentence,label
0,문재인 누드사진도 전시해야지 공평하지!,2
1,그리고 조언 좀 해 주세요.,1
2,트와이스가 대세는 대세임….,0
3,최선을 다해봐라 꿈쩍 안 할 것이다 대한민국 수호 어버이연합회,1
4,"누드모델 년이 대통령 마누라 되면 섹스 비디오까지 나올 듯, 미국 이미지는 끝장나는 거다.",2
5,아침에 볼일 보고 나니까 휴지에 피가 묻어 나오네요….,3
6,"전라도 폭도는 서울에 오지 마쇼, 응 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~",2
7,다들 공감하져? ㅋㄷㅋㄷ,1
8,조기에 빠른 대처를 하신 기장 및 승무원 그리고 지시에 따라주신 승객까지.. 모두 잘하셨습니다!,0
9,나 일 계속해야 되는데요.,0
10,"암요! 축하를 받아야지요. 감사합니다. 한잔 드시죠. 이놈 제가 오늘 얼굴을 딱~ 봤는데, 관상이 보통 놈이 아니에요. 나중에 분명히 한자리할 거예요. 이 녀석... 열심히... 뼈가 부서져라 키울 겁니다.",1
11,막내야! 돌아와서 반가웠어~~ 앞으로 더 분발하자.,1
12,아. 감사합니다.,3
13,"박자기는 뭐가요, 안 줘도 될 거 내가 그냥 손해 본다는데?",2
14,역시 이번에도 듣기만 하라고 만들었네요…. 너무 좋습니다,0
15,"휴…. 김원희 노력한 건 알겠지만, 점수는 도저히 더 줄 수가 없다.",2
16,조기에 빠른 대처를 하신 기장 및 승무원 그리고 지시에 따라주신 승객까지.. 모두 잘하셨습니다!,1
17,fa 신청 안 하면 되는 방법이 있는걸 몰랐나?,3
18,200만 명이 모이는 곳에 트랙터로 광화문 간다고???**???????**,3
19,다들 공감하져? ㅋㄷㅋㄷ,0
20,기아전에서 패한 게 아니라 엘지전이다,2
21,어디 처음 봤어??,3
22,이번에 강당 안 의자에 기부한 졸업생들 이름을 새겨 드리기로 했습니다. 그걸 말씀해주시면 기부하실 분이 많을 것 같은데요.,3
23,전 책으로 읽었는데 진짜 재밌어요,1
24,첫 번째 사진 너무 충격적이네요,3
25,막내야! 돌아와서 반가웠어~~ 앞으로 더 분발하자.,0
26,트와이스가 대세는 대세임….,1
27,역시 이번에도 듣기만 하라고 만들었네요…. 너무 좋습니다,1
28,대가리 크기보소…….,3
29,선동도 이 정도면 의도적이다,2
30, 정말 세상이 미쳐가고 있구나?,3
31,미칠락 말락…?,2
32,저걸 어떻게 죽여야 혀,2
33,"암요! 축하를 받아야지요. 감사합니다. 한잔 드시죠. 이놈 제가 오늘 얼굴을 딱~ 봤는데, 관상이 보통 놈이 아니에요. 나중에 분명히 한자리할 거예요. 이 녀석... 열심히... 뼈가 부서져라 키울 겁니다.",0
34,전 책으로 읽었는데 진짜 재밌어요,0
35,최선을 다해봐라 꿈쩍 안 할 것이다 대한민국 수호 어버이연합회,0
36,나 일 계속해야 되는데요.,1
37,카리스마 아주 절,3
38,너 뭐 하는 놈이야!! 어디서 뭐 하다 이제 기어들어 와!!,2
39,그리고 조언 좀 해 주세요.,0
