,sentence,label
0,최순실 호가 염병으로 지어졌네~~~,2
1,좋은 일 하시네요! 세월호 진상 규명될 때까지 저도 응원합니다!,0
2,큰 배우신 분들,1
3,솔직히 현빈보다 윤아가 연기 잘함,0
4,"그럼, 가 볼까?",1
5,대통령이 아니고 여왕인 줄 알았나,2
6,좋은 일 하시네요! 세월호 진상 규명될 때까지 저도 응원합니다!,1
7,0.5개는 ?;;;,2
8,엘지는 파크 삼성은 시티 실제로 가보면 규모는 엄청 차이나 긴함. 진짜 파크와 시티의 차이만큼,3
9,시간 아까워도 참아. 여자들은 다 이렇게 해. ,2
10,새 프로그램을 볼 수 있게 해주셔서 감사해요,1
11,싸는 데 지장 없으니까 한쪽 발로 갔다 와.,3
12,"그럼, 가 볼까?",0
13,4대 강은 상상도 할 수 없는 쓰레기 사업이다,2
14,사양할 것 없다.,0
15,안녕히 가세요.,2
16,다들 말씀과 조언 감사합니다,1
17,진짜 기대를 안 했는데 생각보다 너무 좋았다 ㅠㅠㅠ,1
18,?; 미리 쳐놨었냐,3
19,아뇨. 삼촌이요. 삼촌이 수학 오늘 가르쳐 주신다고 해서.,3
20,이상한 소리 하지 마.,2
21,다들 말씀과 조언 감사합니다,0
22,"오바마 대통령, 보기 드문 참 멋쟁이 대통령이야!",1
23,호수생태공원이면 중학교 때 생태 체험하러 왔던 곳이잖아…….,3
24,이 영화 때문에 처음으로 글 남기네…. 내용도 감동도 cg도 뭣도 볼 거 없는 폐습 영화….,2
25,커프 때 니혼진 아니었어???,3
26,"집에 TV가 없지만, 인터넷으로 두루두루 찾아서 보는 광팬입니다.",1
27,새 프로그램을 볼 수 있게 해주셔서 감사해요,0
28,"오바마 대통령, 보기 드문 참 멋쟁이 대통령이야!",0
29,미군 핵잠수함이었기 때문에 은폐하려 했다는 건가?,3
30,솔직히 현빈보다 윤아가 연기 잘함,1
31,사양할 것 없다.,1
32,밥? 아까 핫도그 사줬잖아?,2
33,진짜 기대를 안 했는데 생각보다 너무 좋았다 ㅠㅠㅠ,0
34, 나비로가 삼성에서 사고 쳤나요???,3
35,웃음 박에 안 나온다 크크크ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2
36,큰 배우신 분들,0
37,"집에 TV가 없지만, 인터넷으로 두루두루 찾아서 보는 광팬입니다.",0
38,"김현아는 나가는데, 신보라는 뭣 때문에 버티는 거요?",3
39,"아, 자식들, 도대체 누굴 닮아서 이렇게 여자를 모르냐.",3
