,sentence,label
0,아니……. 나는 원래 이런 인간이었어. 17년간 같이 살면서 봐왔을 거 아냐?,1
1,제가 머리카락이 두꺼워서 그런가? 머리가 위로 수거든요,3
2,그게 끝이에요?,1
3,박근혜 출동해야지 삥뜯으러,2
4,아 웃겨. 크크크 또 바뀌었어,1
5,? 나왔다고 평점 막 주지 마라,2
6,정말이세요? 정말 저 써주시는 거예요?,0
7,첼시 토트넘 아스널만 신났네….,1
8,제가 지금 삼촌한테 걸리는 게 걱정돼서 이러는 줄 알아요?,3
9,첼시 토트넘 아스널만 신났네….,0
10,아 웃겨. 크크크 또 바뀌었어,0
11,커리어가 무슨…….,3
12,너무 멋졌어.,0
13,딴 사람이랑 헷갈렸나 봐.,0
14, 어제 ? 수고하셨어요,1
15,딴 사람이랑 헷갈렸나 봐.,1
16,누구랑 결혼?,3
17,응.. 너희 학교 재단에서 특별히 도와주는 거라고.,0
18,저번 편지에 댓글 달아줘서 정말 고마워요,1
19,오빠는?,3
20,정말이세요? 정말 저 써주시는 거예요?,1
21,응.. 너희 학교 재단에서 특별히 도와주는 거라고.,1
22,어쩐지 맹장 수술 이후로 몸이 안 아픈 데가 없다 했더니….,2
23,그게 끝이에요?,0
24,재미 하나도 없음….,2
25,아니……. 나는 원래 이런 인간이었어. 17년간 같이 살면서 봐왔을 거 아냐?,0
26,배신의 대가는 톡톡히 치러야지?,2
27,별로 좋아지지 않은 것 같아요.,3
28,친구 통해서 들었는데 진짜….,3
29,찌라시가 드디어 터졌네. ㅋ,3
30,주어 생략이 끝판왕이죠. 크크크,2
31,"범인이 사탕이냐? 이놈 주고 저놈 안 주게? 그리고 내가 경고했지? 용의자한테 손대지 말라고, 네가 깡패야?",2
32, 자칭 하나님이라니?,3
33,너무 멋졌어.,1
34,또 생겨날 ai에 대책 좀 미리 세워 주세요!,2
35, 어제 ? 수고하셨어요,0
36,30평이면 12억인가? 비싸군,3
37,크크크 뭔 빈민촌도 아니고 파라솔 다다닥~~저 짓 하러 저까지 왜 가는 거냐 대체 ㅋㅋ,2
38,넌 뭐야? 뭐 할 말 있어?,2
39,저번 편지에 댓글 달아줘서 정말 고마워요,0
