,sentence,label
0,간단하면서 고급스러운 요리 감사합니다~,1
1,편집된 부분에 그런 내용이 있었네요,3
2,아낀다 때부터 붐 붐 때까지 나도 그렇고 너 너도 그렇고 정말 열심히 달려왔던 것처럼 앞으로도 같이 열심히 달려보자,1
3,"수고하셨어요,",0
4,삭제를 하지 말고 사과를 해야지요,2
5,여자가 운전하는 것도 위험한데 술 먹은 여자가 운전? 으아,3
6,"변할 생각은, 없나 보다.",1
7,??항상 빛내줄게 세븐틴??,0
8,고고한 척하는 심한 바보,2
9,결말만 좋다,0
10,오버워치 재미없던데….,2
11,대통령 말이 잘못하던데 이것 부작용인가?,2
12,28살에 기획실 팀장 ㅋㅋ,3
13,후안무치 전 국민이 알게 될 의미!,2
14,정한 오빠 생일을 진심으로 축하해요,0
15,결말만 좋다,1
16,얘네들은 뭘 먹고 이리 큼?,3
17,선생님의 프로그램은 항상 유익합니다.,1
18,간단하면서 고급스러운 요리 감사합니다~,0
19,식사 아직 안 하셨죠? 제가 금방 차릴게요.,3
20,진짜 따습냐 안 무겁고?,3
21,동물 학대 아닌가?,2
22,   감사드립니다,1
23,친일 행위들은 제발 일본 가서 살았으면,2
24,허허 30대였어! 신인이라 어린 줄 알았는데 데뷔가 늦었네,3
25,매국노 나가라!!,2
26,"변할 생각은, 없나 보다.",0
27,"내 동생이야, 사업 잘하면서 잘살고 있지... 왜?",2
28,선생님의 프로그램은 항상 유익합니다.,0
29,의학 드라마 중 최고다. 몰입감 최고,1
30,"수고하셨어요,",1
31,정한 오빠 생일을 진심으로 축하해요,1
32,   감사드립니다,0
33,오피셜!???? 대박이네! 드디어 케리 형. 덜덜덜,3
34,의학 드라마 중 최고다. 몰입감 최고,0
35,??항상 빛내줄게 세븐틴??,1
36,일 안 해도 안 잘려... 대단하다이….,3
37,아무 일도 없었던 것처럼 지낼 순 있을지도 몰라. 그런 건 익숙하니까.,3
38,아낀다 때부터 붐 붐 때까지 나도 그렇고 너 너도 그렇고 정말 열심히 달려왔던 것처럼 앞으로도 같이 열심히 달려보자,0
39,현기가 시키더냐,2
