,sentence,label
0, 젊은이들 화이팅!,1
1,맨탈 갑!!! ㅋㅋㅋㅋㅋㅋㅋㅋ,0
2,중고등학교 때까지 역사를 배웠는데 아직도 모르는 사실이 이렇게나 많구나…….,3
3, 김은숙 작가 때문에 도깨비를 봤는데 정말 공유 멋 내지 않으면서도 슬픔과 기쁨을 표현하더라.,1
4,execution style을 처형당하듯 이라고 번역하네….,3
5,크크크 들켰다,3
6,지가님 진짜 배우신 분. ㅜㅜㅜ. 원년 멤버 그대로 가야 의미가 있다는 말에 전적으로 동의합니다. ㅜㅜㅜ,0
7, 저 사람이 교수라니….,3
8,좋은 꿈 꾸시고 오늘 아침도 상쾌한 하루 보내세요♡♡,1
9,옷 정말 이상하고 적응 안 됨,2
10,머리를 잘라 조상 묘에 걸어놔도 시원찮을 것…. 바로 잡자…. 이제는….,2
11,좀 살다 이혼할 듯….,2
12,1위 기대합니다. ㅎㅎ,0
13,오늘 밥 안 차려도 돼.,3
14, 김은숙 작가 때문에 도깨비를 봤는데 정말 공유 멋 내지 않으면서도 슬픔과 기쁨을 표현하더라.,0
15,좋은 말씀 이 네 여;^^….,1
16,무서운 거 다 잊고 너무너무 좋은 꿈으로 기억해줘.,0
17,좋은 말씀 이 네 여;^^….,0
18,"얘도 하니, 예원, 이시영처럼 가식적이면서 털털한척하더라",2
19,그렇게 그냥? 집구석에 자빠져 있어라? 엄동에 촛불은 뭔 개G랄이냐?,2
20,좋은 꿈 꾸시고 오늘 아침도 상쾌한 하루 보내세요♡♡,0
21, 젊은이들 화이팅!,0
22,어디든지 상관없지 않나요. 그걸로 누군가에게 폐를 끼치지도 않았고,3
23,아니?? 아직도 퇴출 안 된 거였어요??,3
24,마이너스평점이 있다면-10점이다,2
25,"……오, 오오. 네가 이렇게 착실하게 보이는 건 처음이야.",1
26,지가님 진짜 배우신 분. ㅜㅜㅜ. 원년 멤버 그대로 가야 의미가 있다는 말에 전적으로 동의합니다. ㅜㅜㅜ,1
27,볼 때마다 느끼는 거지만 죽여버리고 싶니,2
28, 좌파 뉴스냐?,2
29,아이들이 보면 신기해할 듯 .,3
30,"영화'산업'이라고 하잖는가? 이딴 식으로 홍보해놓고 속여서 팔았다는 게 소비자 입장에서는 짜증 난다. 그나마 다행은 아주 싸구려를 상급 품으로 속여 판 게 아니라는 점. 그래서 1점. 차라리 연상호 감독 작품처럼 홍보가 됐다면, 그 비슷하게 만이라도 하지",2
31,"이러다 잘못되면 어떡해!!! 나 하나 죽는 건 괜찮지만, 당신은 살아야지!! 우리 딸 누가 봐!",0
32,"……오, 오오. 네가 이렇게 착실하게 보이는 건 처음이야.",0
33,그럼. 확~ 결혼해 버려. 결혼해서 같이 신혼여행 가면 되지!!,3
34,응. 잘 갔다 와.,3
35,맨탈 갑!!! ㅋㅋㅋㅋㅋㅋㅋㅋ,1
36,다세포 소녀도 이 정도는 아니지.,2
37,"이러다 잘못되면 어떡해!!! 나 하나 죽는 건 괜찮지만, 당신은 살아야지!! 우리 딸 누가 봐!",1
38,1위 기대합니다. ㅎㅎ,1
39,무서운 거 다 잊고 너무너무 좋은 꿈으로 기억해줘.,1
