,sentence,label
0,응원합니다~두 분 행복하시길~~~♥,0
1,조작 왕 손석희는 구속되고 감옥에 가야 한다….,2
2,먹고 싶은 얘기해.,2
3,헐!!!!! 충격이다,3
4,먹을 수 있겠어?,3
5,이번 주말은 안 돼. 애랑 여행 가기로 했어. ,3
6,대단하다. 대단해……. 곡성군,0
7,수지가 최고 이쁘네….,1
8,약쟁이긴 하지만 빤짝 스타는 아닌 듯,0
9,응원합니다~두 분 행복하시길~~~♥,1
10,막장으로 가네,2
11,그런데요. 이거 버리는 거 맞습니까?,3
12,넌 이따가 나 좀 따로 봐!,2
13,퍼시픽 밀 1세대다 우왕 +_+,3
14,역대 최대 사실 쓰레기 기자 나가보지도 않고 쓰셨나….,2
15,내가 화장한 얼굴보다 훨씬 몇천 배는 이쁘더라…. ㄹㅇ하얗고 피부 좋아. ㅠㅠㅠ. 너무 이뻐,0
16,뭐지 이 악평조차도 별로 없는 펄 영화는….,2
17,"에에~? 하지만 경주로 가 봤자 딱히 할 것도 없잖아? 거기에 있는 거라곤 어차피 절이나 묘지뿐이잖아? 그런 거라면 주변에도 있고, 언제라도 갈 수 있잖아….",1
18,18 어쩐 저렇게 뻔뻔할 수가 있냐?,2
19,저런 눈빛 가진 남자가 한국에 몇 있을 것 같냐. 알랭 들롱에 버금가는 눈빛이다.,1
20,"알겠어요. 음, 저는 치과 예약이 있어서 지금 막 나가려는 참이에요. 오후 2시가 넘어서 돌아올 것 같은데 물건을 그때 가져다줄 수 있을까요?",3
21, 오늘 오빠 좀 음란했어요. 크크크,1
22,대단하다. 대단해……. 곡성군,1
23,저런 눈빛 가진 남자가 한국에 몇 있을 것 같냐. 알랭 들롱에 버금가는 눈빛이다.,0
24,하긴,2
25,"저기... 아버지... 아까 그... 아버지 사기당한 얘기는요. 저, 정말 주책맞게 생각보다 혀가 빨리 돌아갔어요. 죄송해요. 아버지.",0
26,나는 신부수업 중이거든.,3
27, 그러면 이 새끼들아,2
28,네가 더 잘하고 말고 할 게 뭐 있어?,0
29, 오늘 오빠 좀 음란했어요. 크크크,0
30,네가 더 잘하고 말고 할 게 뭐 있어?,1
31,수지가 최고 이쁘네….,0
32,VIP는 무슨…. 그냥 죄다 졸부 집 능력 없는 자식들이야. 돈만 많아.,3
33,약쟁이긴 하지만 빤짝 스타는 아닌 듯,1
34,내가 화장한 얼굴보다 훨씬 몇천 배는 이쁘더라…. ㄹㅇ하얗고 피부 좋아. ㅠㅠㅠ. 너무 이뻐,1
35,현 아가 어떻게 1위지???,3
36,"저기... 아버지... 아까 그... 아버지 사기당한 얘기는요. 저, 정말 주책맞게 생각보다 혀가 빨리 돌아갔어요. 죄송해요. 아버지.",1
37,"원래대로라면 책임을 회피하고 도망친 위원장은 용서받지 못했겠지. 그렇지만 이곳으로 돌아왔을 때, 위원장은 잔인한 말에 상처받은 피해자였어. 증인까지 갖춘 엄연한 피해자.",2
38,"에에~? 하지만 경주로 가 봤자 딱히 할 것도 없잖아? 거기에 있는 거라곤 어차피 절이나 묘지뿐이잖아? 그런 거라면 주변에도 있고, 언제라도 갈 수 있잖아….",0
39,하메스보다 폼이 더 좋아 보인다고 생각하는 듯,3
