,sentence,label
0,역시 우리나라 비리 빼면 시체지 안 그래?,2
1,류준열 인정받아 팬으로서 넘좋다,1
2,턱선이 오빠랑 똑같네,3
3,……알았어.,0
4,항상 매주 유재석 모습들이 재밌게 보여주시니 감사합니다,1
5,많이 좀 입어 하하 이뻐♡,1
6,거기 서!!,2
7,욕만 나온다.,2
8,……알았어.,1
9, 그거 대체 무슨 교육인가요?,3
10,대학 졸업 전 회사 3~4 군부대에서 스카우트해갑니다.,0
11, 기아 수고했다. 고맙다,0
12,그네야. 너희 아버지 말씀 기억나지? 미친개는 몽둥이가 약이라고. ㅋㅋ,2
13,대학 졸업 전 회사 3~4 군부대에서 스카우트해갑니다.,1
14,류준열 인정받아 팬으로서 넘좋다,0
15,근데 주변에 제 친구들 보면 1~2년 연앤데도 남자친구 부모님이랑 자주 만나서 식사도 하고 그러더라고요…….,3
16,일본은 게임 강국이구나….,3
17, 아가의 탄생도 아름다운 순간!,0
18,항상 매주 유재석 모습들이 재밌게 보여주시니 감사합니다,0
19,"뭡니까. 전화도 안 받고, 사무실에도 없고, 어디서 뭐 하다 이제야 나타납니까.",2
20,지구온난화가 해결이 핵심 매년 더워지는 여름….,2
21, 기아 수고했다. 고맙다,1
22,왜 바다로 가서 수영시키지?,3
23,몰랐네요.. 정보 주셔서 감사합니다,0
24,몰랐네요.. 정보 주셔서 감사합니다,1
25,  저 잘하고 있는 거 맞나요?? ㅎ ㅎ,0
26,야~~~~~새해 첫날부터……. 국민을우롱하네;;;;,2
27,"아 참, 아버님 어머님, 웨딩 사진 다 구경하셨어요?",3
28,많이 좀 입어 하하 이뻐♡,0
29, 아가의 탄생도 아름다운 순간!,1
30,한번 걸렸다 하면 열이 보통 39도구여….,3
31,제 인구 달인 줄 알았네요. 감동적이예요,1
32, 정말 미치겠다!!!,3
33,  저 잘하고 있는 거 맞나요?? ㅎ ㅎ,1
34,"아 시간 아까워, 스토리가 개연성이 떨어짐 ㅡㅡ 자극적인것만 좋아하는 사람은 보세요,",2
35,"새벽방송 있는 아나운서가 밤에 잠이 안 온다... 큰 문제죠, 그거. 하루 이틀 일하고 말 것도 아닌데... 밤마다 해봐요. 혼자. 잠이 아주 잘 올 거예요. ",3
36,그야 화내겠지. 그나저나 너도 컵라면 먹을래?,3
37,너 진짜 학교 안 가?,2
38,민주당은 김정은이 2중대. ㅋㅋㅋㅋㅋㅋㅋ,2
39,제 인구 달인 줄 알았네요. 감동적이예요,0
