,sentence,label
0,우리 외할아버지가 22년생이신데... 1870년생이면 와…. ㅋㅋ,3
1,  김연아 선수 대한민국에 태어나 주셔서 감사합니다.,1
2,"왜 그래, 떨떠름한 얼굴을 하고?",0
3,  차기 국민 MC 형 돈이 화이팅~,1
4,정리시키기 위해서 하는 거라지만 나는 그러면서 당신 마음도 정리됐으면 좋겠어요.,3
5,선생님이 교칙을 안 지키면 학생들한테 할 말이 없잖아.,3
6,교도소 죄수들 위한 특급포상 정유라,2
7,사실인 거 같은데 논란?!,3
8,스케일이 어마어마하다.,1
9,"왜 그래, 떨떠름한 얼굴을 하고?",1
10,감독님 수고 많으셨습니다,0
11,안 내켜.,2
12,로비가 있었으면 좋겠어. 현관문 열면 집 다 보이지 않게….,3
13, 사람들 논리 이상하네….,2
14,진짜 애국 보수 박근혜 대통령님이 동남아·조선족 수입해오는데 깊은 뜻이 있다///토종반도 인들은 사기·오만. 불신적이라 멸종되어야 한다.,2
15,연아 선수 건강하게 잘 지내고 세계선수권에서 만나요.,0
16,감독님 수고 많으셨습니다,1
17,최순실 청와대 대장이 외교까지 진두지휘했나 보네.,2
18,"낸시 앨런 이쁘고, 섹시하다",1
19,  차기 국민 MC 형 돈이 화이팅~,0
20,능력자의 메뚜기 바지 벗길 때 가장 기억에 남는다. 크크크 ㅋㅋㅋㅋ ㅋ ㅋ ㅋ,0
21,정권 교체하여 쓰레기 방송도 대청소하자,2
22,너무너무 맛있어요!,0
23,너무너무 맛있어요!,1
24,?_한국 영화는 망했어,2
25,나의 황제는 나 탈 이다.,1
26,야~이거 정말 맛있겠다.,3
27,그 이유가 운명이란 거죠. ,3
28,걔기면 고문이 최선입니다.,2
29,저거 계속 업데이트하라고 떠서 빡침,2
30,능력자의 메뚜기 바지 벗길 때 가장 기억에 남는다. 크크크 ㅋㅋㅋㅋ ㅋ ㅋ ㅋ,1
31,  김연아 선수 대한민국에 태어나 주셔서 감사합니다.,0
32,나의 황제는 나 탈 이다.,0
33,"그럼, 혼자 무인도나 가지 그랬어요…?",3
34,스케일이 어마어마하다.,0
35,와 오늘이 9일짼데 집에 잇는 간식 다 안 먹고 방부유물 급식이 거 빼곤 안 먹은 거 같다,3
36,"낸시 앨런 이쁘고, 섹시하다",0
37,이리 와서 고구마 먹어. 내가 집에서 삶아 온 거야.,3
38,두 연놈을 단두대에 묶어라,2
39,연아 선수 건강하게 잘 지내고 세계선수권에서 만나요.,1
