,sentence,label
0, 시간대 바뀌면 5% 넘을 거 같은데 큰일 났네 ㅋㅋ,3
1,편안한 집밥을 너무너무 고맙네요,0
2,아담하고 이쁘기는요…. 그냥 동네 약국이죠….,1
3,형돈이 형 새해 복 많이 받으세요,1
4,아담하고 이쁘기는요…. 그냥 동네 약국이죠….,0
5,"그래, 내가 그렸어. 이게 다 내가 그런 거야. 왜 하필 나일까 괴로웠는데 내가 일을 친 거였어.",3
6,유로파도 못 가는 감독 주제에 핑계 15 졌고~~~,2
7,뭐지 이 악평조차도 별로 없는 펄 영화는….,2
8,다이어트는 대장 세균 다 죽여서 오래 먹으면 그냥 코크보다 더 안 좋다고 하던데….,3
9,참석 안 해서 안 줄줄 알았는데 역시 청룡,1
10,미친 아직 보지도 않았는데 제목으로 소포 잘하네,2
11,유재석 오라버니 해피투게더 봤어요,1
12,이게 정상인 가요 다른 남자들도 이래요?,3
13,청소 아줌마가 사이다~~~,1
14,유재석 오라버니 해피투게더 봤어요,0
15,이런 노래 다시 내줘서 감사합니다. ㅠㅠ 노래 평생 해주세요 ㅠㅠ,1
16,팬들에게 기쁨을 줘서 감사합니다….,1
17,남동생 네 몫이 컸다 기억해두마,2
18,시리아 전쟁 가담을 한 사람들 세계 평화를 위협하는 그들 심판의날이 올 것이다,2
19,토트넘 현기 수준 날강도들이네….,2
20,강승윤 기대합니다^^♡~~~,1
21,어떻게 아셨어요? ,3
22,이런 노래 다시 내줘서 감사합니다. ㅠㅠ 노래 평생 해주세요 ㅠㅠ,0
23,"…말했잖아, 딱 한 번 즐기겠다고. 이제 됐어.",3
24,사진 진짜 젊게 나왔다,3
25,박근혜가 가는 어디든 가서 시위하겠다. 쌍놈이 내려올 때까지,2
26,참석 안 해서 안 줄줄 알았는데 역시 청룡,0
27,편안한 집밥을 너무너무 고맙네요,1
28,100세 시대?,3
29,시크릿가든 역린 연기력은 최고였지,1
30,일본은 미국 뺨 먼저 때리고 죽통 처맞은 거로 사과받으려고 하네 ㅋㅋㅋ,2
31,형돈이 형 새해 복 많이 받으세요,0
32,아!! 재고 떨이???,3
33,그래도 강진인데 사망자 없는 거 보면 대단한 듯,3
34,강승윤 기대합니다^^♡~~~,0
35,대가리에 든 게 없으니 하는 짓거리가 되돌이표만 계속 찍는 짓거리만 하는구나….,2
36,팬들에게 기쁨을 줘서 감사합니다….,0
37,청소 아줌마가 사이다~~~,0
38,아 정말 짜증 나네 절 때보지 말걸 욕 나옴,2
39,시크릿가든 역린 연기력은 최고였지,0
